"Timestamp","Stage","Name","Status","Detail"
"2026-08-14 20:56:13","1","attacker user","Installed","already present"
"2026-08-14 20:56:14","1","Auto-login","Installed","attacker"
"2026-08-14 20:56:15","1","Screensaver","Installed","disabled"
"2026-08-14 20:56:15","1","Windows Update","Installed","disabled"
"2026-08-14 20:56:52","1","OpenSSH Server","Installed","capability + sshd + firewall rule"
"2026-08-14 20:56:53","1","Power plan","Installed","high performance"
"2026-08-14 21:06:26","1","Windows Update","Installed","PSWindowsUpdate: Install-WindowsUpdate -AcceptAll"
"2026-08-14 21:07:05","1","winget","Skipped","Deployment failed with HRESULT: 0x80073D06, The package could not be installed because a higher version of this package is already installed.

Windows cannot install package Microsoft.DesktopAppInstaller_1.0.30251.0_x64__8wekyb3d8bbwe because it has version 1.0.30251.0. A higher version 1.29.280.0 of this package is already installed.

NOTE: For additional information, look for [ActivityId] 38a1769c-2c2f-0000-df94-a1382f2cdd01 in the Event Log or use the command line Get-AppPackageLog -ActivityID 38a1769c-2c2f-0000-df94-a1382f2cdd01
"
"2026-08-14 21:12:19","2","Git","Installed","winget:Git.Git"
"2026-08-14 21:13:39","2","Rust","Installed","winget:Rustlang.Rustup"
"2026-08-14 21:13:43","2","Python firewall","Installed","allow C:\Users\attacker\AppData\Local\Microsoft\WindowsApps\python.exe (Private,Public)"
"2026-08-14 21:14:38","3","VulnConfig","Installed","Windows-PrivEsc-Setup/vuln-config.ps1"
"2026-08-14 21:15:18","3","Go","Installed","winget:GoLang.Go"
"2026-08-14 21:15:51","3",".NET SDK","Installed","winget:Microsoft.DotNet.SDK.8"
"2026-08-14 21:15:55","3","NuGet","Installed","winget:Microsoft.NuGet"
"2026-08-14 21:17:14","3","Visual Studio 2022 Community","Installed","winget:Microsoft.VisualStudio.2022.Community"
"2026-08-14 21:18:58","4",".NET Framework 3.5","Installed","Windows feature enabled"
"2026-08-14 21:23:11","4","MSYS2","Installed","github-release:msys2/msys2-installer/msys2-base-x86_64-latest.sfx.exe"
"2026-08-14 21:33:28","4","MSYS2 toolchain","Installed","base-devel + mingw-w64-x86_64-toolchain/cmake/qt6"
"2026-08-14 21:33:50","4","Nmap","Installed","winget:Insecure.Nmap"
"2026-08-14 21:34:03","4","Wireshark","Installed","winget:WiresharkFoundation.Wireshark"
"2026-08-14 21:34:11","4","PuTTY","Installed","winget:PuTTY.PuTTY"
"2026-08-14 21:34:50","4","MobaXterm","Installed","winget:Mobatek.MobaXterm"
"2026-08-14 21:35:02","4","7-Zip","Installed","winget:7zip.7zip"
"2026-08-14 21:35:18","4","Python 3.13","Installed","winget:Python.Python.3.13"
"2026-08-14 21:35:19","4","Go","Installed","already present"
"2026-08-14 21:35:23","4","Gitleaks","Installed","winget:Gitleaks.Gitleaks"
"2026-08-14 21:35:52","4","VS Code","Installed","winget:Microsoft.VisualStudioCode"
"2026-08-14 21:36:04","4","Windows Terminal","Installed","winget:Microsoft.WindowsTerminal"
"2026-08-14 21:36:10","4","Notepad++","Installed","winget:Notepad++.Notepad++"
"2026-08-14 21:36:15","4","DB Browser SQLite","Installed","winget:DBBrowserForSQLite.DBBrowserForSQLite"
